epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.72919,0.62441,2.06157,1.11794,0.34349,0.41761,0.29958,0.24532,0.73752,2.31826,1.09025,0.09307,7e-05,7e-05
2,19.8917,0.66618,1.49995,1.12697,0.32667,0.36002,0.27477,0.20685,0.84559,1.78054,1.1523,0.0850758,7.575e-05,7.575e-05
